aluno_id,curso,periodo_atual,habilitacao,bairro,cidade,uf,faixa_idade,matriculado,mes_cadastro
ALU_610175303e,Engenharia,13,Bac Em Engenharia De Produção,Barra,Rio De Janeiro,RJ,23-25,S,2024-02
ALU_dfd640f917,Design,7,Bacharelado Em Design,Tijuca,Rio De Janeiro,RJ,20-22,S,2024-02
ALU_27a7cced9a,Estudos De Mídia,15,Bacharelado Estudos De Mídia,Ipanema,Rio De Janeiro,RJ,26-30,S,2024-02
ALU_835818ad99,Estudos De Mídia,7,Bacharelado Estudos De Mídia,,,RJ,20-22,S,2024-02
ALU_bb24857a80,Psicologia,6,Bacharelado Em Psicologia,Del Castilho,Rio De Janeiro,RJ,23-25,S,2024-02
ALU_63da604068,Pos-Graduacao Em Educacao,5,Dout Cienc Humanas - Educacao,Cachambi,Rio De Janeiro,RJ,30+,S,2024-02
ALU_4d676e8eda,Design,7,Bacharelado Em Design,Camorim,Rio De Janeiro,RJ,,S,2024-02
ALU_ee657ed486,Ciências Econômicas,11,Bac Em Ciências Econômicas,Copacabana,Rio De Janeiro,RJ,23-25,S,2024-02
ALU_ae78e1a21c,Administração,10,Bacharelado Em Administração,Botafogo,Rio De Janeiro,RJ,23-25,S,2024-02
ALU_462377ba28,Psicologia,11,Bacharelado Em Psicologia,Sao Conrado,Rio De Janeiro,RJ,30+,S,2024-02
ALU_bb4efa9897,Estudos De Mídia,7,Bacharelado Estudos De Mídia,Meier,Rio De Janeiro,RJ,20-22,S,2024-02
ALU_dda1d9792c,Psicologia,11,Bacharelado Em Psicologia,Leblon,Rio De Janeiro,RJ,23-25,S,2024-02
ALU_0478500db2,Administração,9,Bacharelado Em Administração,Campo Grande,Rio De Janeiro,RJ,23-25,N,2024-02
ALU_d86d364c6c,Design,9,Bacharelado Em Design,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,S,2024-02
ALU_e28936aa27,Ciência Da Computação,5,Bac Ciência Da Computação,Leme,Rio De Janeiro,RJ,20-22,S,2024-02
ALU_8499887ae9,Direito,7,Bacharelado Em Direito,Copacabana,Rio De Janeiro,RJ,20-22,S,2024-02
ALU_1d22164678,Engenharia,11,Bac Em Engenharia De Produção,Leblon,Rio De Janeiro,RJ,,N,2024-02
ALU_07bc6d84c1,Ciência Da Computação,7,Bac Ciência Da Computação,Itaipu,Niteroi,RJ,,S,2024-02
ALU_b547c9bd7f,Administração,6,Bacharelado Em Administração,Gardenia Azul,Rio De Janeiro,RJ,<=19,S,2024-02
ALU_90dbd5989a,Estudos De Mídia,12,Bacharelado Estudos De Mídia,Copacabana,Rio De Janeiro,RJ,23-25,S,2024-02
ALU_69a9fc593c,Ciências Econômicas,9,Bac Em Ciências Econômicas,Sao Conrado,Rio De Janeiro,RJ,20-22,N,2024-02
ALU_4dd2de8698,Psicologia,7,Bacharelado Em Psicologia,Flamengo,Rio De Janeiro,RJ,20-22,S,2024-02
ALU_7975cde3e2,Psicologia,7,Bacharelado Em Psicologia,Leblon,Rio De Janeiro,RJ,20-22,S,2024-02
ALU_d0ac6336ff,Design,13,Bacharelado Em Design,Recreio Dos Bandeirantes,Rio De Janeiro,RJ,26-30,S,2024-02
ALU_83d13201f4,Psicologia,7,Bacharelado Em Psicologia,Jardim Botanico,Rio De Janeiro,RJ,20-22,S,2024-02
ALU_9ba8e1cb5f,Estudos De Mídia,9,Bacharelado Estudos De Mídia,Grajau,Rio De Janeiro,RJ,23-25,S,2024-02
ALU_9d09241f5b,Estudos De Mídia,9,Bacharelado Estudos De Mídia,Leme,Rio De Janeiro,RJ,26-30,S,2024-02
ALU_408a67f9ae,Jornalismo,6,Bacharelado Em Jornalismo,Costa Barros,Rio De Janeiro,RJ,23-25,S,2024-02
ALU_2f0e942670,Estudos De Mídia,7,Bacharelado Estudos De Mídia,Icaraí,Niterói,RJ,20-22,S,2024-02
ALU_26c07e3859,Arquitetura E Urbanismo,7,Bac Arquitetura E Urbanismo,Guaratiba,Rio De Janeiro,RJ,23-25,S,2024-02
ALU_28ffc40feb,Psicologia,6,Bacharelado Em Psicologia,Granja Rosalina,Queimados,RJ,23-25,S,2024-02
ALU_a9390e4468,Estudos De Mídia,11,Bacharelado Estudos De Mídia,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,S,2024-02
ALU_5ebe1f39ab,Direito,5,Bacharelado Em Direito,Botafogo,Rio De Janeiro,RJ,20-22,S,2024-03
ALU_1a88f9ca93,Estudos De Mídia,6,Bacharelado Estudos De Mídia,Copacabana,Rio De Janeiro,RJ,23-25,S,2024-03
ALU_e35e9d199b,Psicologia,9,Bacharelado Em Psicologia,Laranjeiras,Rio De Janeiro,RJ,20-22,S,2024-03
ALU_f1db461aad,Administração,5,Bacharelado Em Administração,Barra Da Tijuca,Rio De Janeiro,RJ,20-22,S,2024-03
ALU_afc2e47a66,Ciências Econômicas,11,Bac Em Ciências Econômicas,Gavea,Rio De Janeiro,RJ,23-25,S,2024-03
ALU_72a00aa53f,Ciência Da Computação,5,Bac Ciência Da Computação,Copacabana,Rio De Janeiro,RJ,20-22,S,2024-03
ALU_4fae7e81ef,Design,16,Bacharelado Em Design,São Cristóvão,Rio De Janeiro,RJ,26-30,N,2024-03
ALU_0b66e2050e,Administração,7,Bacharelado Em Administração,Laranjeiras,Rio De Janeiro,RJ,20-22,S,2024-03
ALU_b88671ff85,Engenharia,6,Bac Engenharia De Computação,Barra Da Tijuca,Rio De Janeiro,RJ,20-22,N,2024-03
ALU_11f4d3585a,Engenharia,17,Bac Engenharia De Computação,Vila Valqueire,Rio De Janeiro,RJ,26-30,S,2024-03
ALU_65e88e51ff,Psicologia,6,Bacharelado Em Psicologia,Centro,Rio De Janeiro,RJ,23-25,S,2024-03
ALU_03b1681e0d,Jornalismo,5,Bacharelado Em Jornalismo,Copacabana,Rio De Janeiro,RJ,20-22,S,2024-03
ALU_3430668fc5,Administração,7,Bacharelado Em Administração,Leblon,Rio De Janeiro,RJ,,S,2024-03
ALU_4d6c8f05e9,Design,11,Bacharelado Em Design,Rio Comprido,Rio De Janeiro,RJ,,S,2024-03
ALU_493528bb87,Ciência Da Computação,9,Bac Ciência Da Computação,Leme,Rio De Janeiro,RJ,20-22,S,2024-03
ALU_1e9ff13a40,Direito,10,Bacharelado Em Direito,Ipanema,Rio De Janeiro,RJ,26-30,S,2024-03
ALU_f9bc843196,Administração,5,Bacharelado Em Administração,Gavea,Rio De Janeiro,RJ,26-30,S,2024-03
ALU_dc07139ec9,Ciências Econômicas,10,Bac Em Ciências Econômicas,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,S,2024-03
ALU_090f4b8aca,Administração,8,Bacharelado Em Administração,Barra Da Tijuca,Rio De Janeiro,RJ,20-22,S,2024-03
ALU_7dcc6ed9db,Engenharia,13,Bac Engenharia De Computação,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,S,2024-03
ALU_820b45228c,Design,9,Bacharelado Em Design,Gavea,Rio De Janeiro,RJ,20-22,S,2024-03
ALU_fda049a30c,Engenharia,11,Bac Em Engenharia De Produção,Botafogo,Rio De Janeiro,RJ,23-25,S,2024-03
ALU_c2a93c49d6,Ciência Da Computação,9,Bac Ciência Da Computação,Maracana,Rio De Janeiro,RJ,23-25,S,2024-03
ALU_f8086bad2c,Ciências Econômicas,7,Bac Em Ciências Econômicas,Sao Conrado,Rio De Janeiro,RJ,23-25,S,2024-03
ALU_aeeddca87d,Administração,9,Bacharelado Em Administração,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,S,2024-03
ALU_d011d3832d,Ciências Econômicas,13,Bac Em Ciências Econômicas,Leblon,Rio De Janeiro,RJ,23-25,S,2024-03
ALU_860299bd84,Direito,11,Bacharelado Em Direito,Leblon,Rio De Janeiro,RJ,23-25,S,2024-03
ALU_05f8647e07,Direito,9,Bacharelado Em Direito,Tijuca,Rio De Janeiro,RJ,23-25,S,2024-03
ALU_287dc4b797,Direito,10,Bacharelado Em Direito,Iraja,Rio De Janeiro,RJ,,S,2024-03
ALU_18605e5470,Psicologia,9,Bacharelado Em Psicologia,Gavea,Rio De Janeiro,RJ,23-25,S,2024-03
ALU_b8fc2aec78,Pos-Graduacao Em Administracao,5,Mest Em Adm De Empresas,Jardim Sulacap,Rio De Janeiro,RJ,26-30,S,2024-03
ALU_2ac4849738,Psicologia,8,Bacharelado Em Psicologia,Leblon,Rio De Janeiro,RJ,20-22,S,2024-03
ALU_3537ef9946,Administração,9,Bacharelado Em Administração,Lagoa R De Freitas,Rio De Janeiro,RJ,,S,2024-03
ALU_71df664b76,Ciências Econômicas,7,Bac Em Ciências Econômicas,Gavea,Rio De Janeiro,RJ,20-22,S,2024-03
ALU_2e2714fd86,Design,11,Bacharelado Em Design,Sao Francisco,Niteroi,RJ,23-25,S,2024-03
ALU_779fb4aca8,Relacões Internacionais,9,Bac Relacões Internacionais,Flamengo,Rio De Janeiro,RJ,23-25,S,2024-03
ALU_96bc8dab95,Ciência Da Computação,7,Bac Ciência Da Computação,Itaipu,Niteroi,RJ,20-22,S,2024-03
ALU_11b0da4472,Psicologia,9,Bacharelado Em Psicologia,Botafogo,Rio De Janeiro,RJ,23-25,S,2024-03
ALU_5786e3ebd6,Estudos De Mídia,5,Bacharelado Estudos De Mídia,Rocinha,Rio De Janeiro,RJ,26-30,S,2024-03
ALU_70b56c0146,Ciência Da Computação,13,Bac Ciência Da Computação,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,S,2024-03
ALU_72954fc3fc,Ciência Da Computação,6,Bac Ciência Da Computação,Barra Da Tijuca,Rio De Janeiro,RJ,20-22,S,2024-03
ALU_13a9804049,Jornalismo,6,Bacharelado Em Jornalismo,Vista Alegre,Rio De Janeiro,RJ,20-22,S,2024-03
ALU_ad760696b1,Estudos De Mídia,7,Bacharelado Estudos De Mídia,Barra Da Tijuca,Rio De Janeiro,RJ,20-22,S,2024-03
ALU_8704f5ee2f,Administração,9,Bacharelado Em Administração,Copacabana  Lagoa,Rio De Janeiro,RJ,23-25,S,2024-03
ALU_42bf45df4f,Estudos De Mídia,7,Bacharelado Estudos De Mídia,Copacabana,Rio De Janeiro,RJ,20-22,S,2024-03
ALU_21dcfe456b,Administração,9,Bacharelado Em Administração,Copacabana,Rio De Janeiro,RJ,23-25,S,2024-03
ALU_7e29c2c4ee,Administração,9,Bacharelado Em Administração,Copacabana,Rio De Janeiro,RJ,20-22,S,2024-03
ALU_78c4306e27,Jornalismo,13,Bacharelado Em Jornalismo,Trindade,Sao Goncalo,RJ,26-30,S,2024-03
ALU_5de5eba46a,Design,7,Bacharelado Em Design,Tijuquinha,Rio De Janeiro,RJ,23-25,S,2024-03
ALU_e48096e61c,Administração,9,Bacharelado Em Administração,Jacarepagua,Rio De Janeiro,RJ,,S,2024-03
ALU_61219bcc55,Ciências Econômicas,9,Bac Em Ciências Econômicas,Copacabana,Rio De Janeiro,RJ,20-22,S,2024-03
ALU_c3acd59955,Ciência Da Computação,6,Bac Ciência Da Computação,Belvedere,Barra Do Pirai,RJ,23-25,S,2024-03
ALU_9a74036b87,Ciência Da Computação,7,Bac Ciência Da Computação,Jacarepagua - Freguesia,Rio De Janeiro,RJ,23-25,S,2024-03
ALU_9e0ef5b744,Ciências Econômicas,11,Bac Em Ciências Econômicas,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,S,2024-04
ALU_cdb8f93a43,Ciências Econômicas,7,Bac Em Ciências Econômicas,Barra Da Tijuca,Rio De Janeiro,RJ,,S,2024-04
ALU_e0ed0e0c7d,Jornalismo,5,Bacharelado Em Jornalismo,Gavea,Rio De Janeiro,RJ,23-25,S,2024-04
ALU_5aedd702ad,Ciências Econômicas,13,Bac Em Ciências Econômicas,Ipanema,Rio De Janeiro,RJ,,S,2024-04
ALU_79810ee90d,Estudos De Mídia,11,Bacharelado Estudos De Mídia,Jardim Botanico,Rio De Janeiro,RJ,26-30,N,2024-04
ALU_569f1876cc,Relacões Internacionais,5,Bac Relacões Internacionais,Copacabana,Rio De Janeiro,RJ,,S,2024-04
ALU_6d4ad50a75,Estudos De Mídia,9,Bacharelado Estudos De Mídia,Jacarepagua,Rio De Janeiro,RJ,23-25,S,2024-04
ALU_66b8794bfb,Ciência Da Computação,7,Bac Ciência Da Computação,Lagoa,Rio De Janeiro,RJ,20-22,S,2024-04
ALU_0ddc9357ff,Arquitetura E Urbanismo,10,Bac Arquitetura E Urbanismo,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,S,2024-04
ALU_bffa833b71,Design,7,Bacharelado Em Design,Iraja,Rio De Janeiro,RJ,26-30,S,2024-04
ALU_43a8bdd089,Relacões Internacionais,7,Bac Relacões Internacionais,Flamengo,Rio De Janeiro,RJ,20-22,S,2024-04
ALU_36b0d1937a,Estudos De Mídia,6,Bacharelado Estudos De Mídia,Rocha,Rio De Janeiro,RJ,,S,2024-04
ALU_49adbbad6f,Estudos De Mídia,5,Bacharelado Estudos De Mídia,Gávea,Rio De Janeiro,RJ,20-22,S,2024-04
ALU_ba5083a128,Nutriçao,7,Bacharelado Em Nutriçao,Barra Da Tijuca,Rio De Janeiro,RJ,20-22,S,2024-04
ALU_6941a7fecd,Relacões Internacionais,7,Bac Relacões Internacionais,Barra,Rio De Janeiro,RJ,20-22,S,2024-04
ALU_c9896a952f,Design,9,Bacharelado Em Design,Leblon,Rio De Janeiro,RJ,23-25,S,2024-04
ALU_5864529958,Engenharia,13,Bac Em Engenharia De Produção,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,S,2024-04
ALU_6f3d29b323,Estudos De Mídia,7,Bacharelado Estudos De Mídia,Leblon,Rio De Janeiro,RJ,20-22,S,2024-04
ALU_5e6c6c4c0c,Design,16,Bacharelado Em Design,Grajaú,Rio De Janeiro,RJ,,S,2024-04
ALU_1014d0184e,Neurociências,9,Bacharelado Em Neurociências,Laranjeiras,Rio De Janeiro,RJ,23-25,S,2024-04
ALU_7e979efbff,Letras,6,"Lic Let,Ling Port Resp Lit",Ramos,Rio De Janeiro,RJ,23-25,S,2024-04
ALU_4d5575c257,Psicologia,9,Bacharelado Em Psicologia,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,S,2024-04
ALU_0597faaebb,Administração,7,Bacharelado Em Administração,Leblon,Rio De Janeiro,RJ,20-22,S,2024-04
ALU_a1bd8aa241,Psicologia,9,Bacharelado Em Psicologia,Laranjeiras,Rio De Janeiro,RJ,23-25,S,2024-04
ALU_f6c03771ec,Direito,5,Bacharelado Em Direito,Centro,Niteroi,RJ,20-22,S,2024-04
ALU_cf65584b10,Design,7,Bacharelado Em Design,Flamengo,Rio De Janeiro,RJ,20-22,S,2024-04
ALU_19edc0d8ab,Administração,8,Bacharelado Em Administração,Copacabana,Rio De Janeiro,RJ,23-25,N,2024-04
ALU_23780af681,Direito,6,Bacharelado Em Direito,Pilares,Rio De Janeiro,RJ,20-22,S,2024-04
ALU_7279549402,Administração,9,Bacharelado Em Administração,Tijuca,Rio De Janeiro,RJ,23-25,S,2024-04
ALU_f5477a0a8c,Filosofia,7,Bacharelado Em Filosofia,Flamengo,Rio De Janeiro,RJ,20-22,S,2024-04
ALU_2665e55170,Estudos De Mídia,10,Bacharelado Estudos De Mídia,Tijuca,Rio De Janeiro,RJ,23-25,S,2024-04
ALU_f534d5e74a,Estudos De Mídia,6,Bacharelado Estudos De Mídia,Botafogo,Rio De Janeiro,RJ,20-22,S,2024-04
ALU_c0f348ecde,Pos-Graduacao Em Fisica,5,Doutorado Em Ciencias-Fisica,Andarai,Rio De Janeiro,RJ,30+,S,2024-04
ALU_f4a2279302,Psicologia,7,Bacharelado Em Psicologia,Marechal Hermes,Rio De Janeiro,RJ,23-25,S,2024-04
ALU_0c3556dab2,Direito,6,Bacharelado Em Direito,Mare,Rio De Janeiro,RJ,,S,2024-04
ALU_163ae7d687,Psicologia,7,Bacharelado Em Psicologia,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,S,2024-04
ALU_3d8a12abcd,Design,13,Bacharelado Em Design,Gávea,Rio De Janeiro,RJ,26-30,S,2024-04
ALU_fd6b87b40e,Direito,7,Bacharelado Em Direito,,Rio De Janeiro,RJ,,S,2024-04
ALU_07bec458e5,Arquitetura E Urbanismo,9,Bac Arquitetura E Urbanismo,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,S,2024-04
ALU_519dc84e15,Relacões Internacionais,7,Bac Relacões Internacionais,Vargem Pequena,Rio De Janeiro,RJ,20-22,S,2024-04
ALU_c2aefe3302,Direito,5,Bacharelado Em Direito,Botafogo,Rio De Janeiro,RJ,23-25,S,2024-04
ALU_d9b4515013,Design,9,Bacharelado Em Design,Botafogo,Rio De Janeiro,RJ,23-25,S,2024-04
ALU_75f172cfb3,Relacões Internacionais,9,Bac Relacões Internacionais,Barra Da Tijuca,Rio De Janeiro,RJ,,S,2024-04
ALU_4bf1a8340a,Relacões Internacionais,11,Bac Relacões Internacionais,Botafogo,Rio De Janeiro,RJ,23-25,S,2024-04
ALU_9f52c04dd5,Administração,9,Bacharelado Em Administração,Leblon,Rio De Janeiro,RJ,23-25,S,2024-04
ALU_82e849a9c4,Arquitetura E Urbanismo,9,Bac Arquitetura E Urbanismo,Barra Da Tijuca,Rio De Janeiro,RJ,20-22,S,2024-04
ALU_b8fffad8aa,Administração,5,Bacharelado Em Administração,Jacarepagua,Rio De Janeiro,RJ,23-25,S,2024-05
ALU_3c69e6d5c5,Direito,7,Bacharelado Em Direito,Jardim Jose Bonifacio,Sao Joao De Meriti,RJ,20-22,S,2024-05
ALU_84710ff3c9,Engenharia,11,Bac Em Engenharia Civil,Tijuca,Rio De Janeiro,RJ,23-25,S,2024-05
ALU_14b9570069,Engenharia,11,Bac Em Engenharia De Produção,Botafogo,Rio De Janeiro,RJ,,N,2024-05
ALU_4a3f983d2d,Ciência Da Computação,7,Bac Ciência Da Computação,Rocinha,Rio De Janeiro,RJ,23-25,S,2024-05
ALU_05a7452cbe,Psicologia,5,Bacharelado Em Psicologia,Recreio Dos Bandeirantes,Rio De Janeiro,RJ,20-22,S,2024-05
ALU_ea38e29360,Engenharia,11,Bac Em Engenharia De Produção,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,S,2024-05
ALU_f80b60c21c,Engenharia,13,Bac Em Engenharia De Produção,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,S,2024-05
ALU_8f0f7e49ca,Ciência Da Computação,11,Bac Ciência Da Computação,Tanque,Rio De Janeiro,RJ,,S,2024-05
ALU_731807378a,Arquitetura E Urbanismo,13,Bac Arquitetura E Urbanismo,Gávea,Rio De Janeiro,RJ,,S,2024-05
ALU_e389275441,Ciências Econômicas,7,Bac Em Ciências Econômicas,Freguesia,Rio De Janeiro,RJ,,N,2024-05
ALU_f791e32cf4,Jornalismo,13,Bacharelado Em Jornalismo,Ipanema,Rio De Janeiro,RJ,23-25,S,2024-05
ALU_1272a07e53,Administração,7,Bacharelado Em Administração,Sao Conrado,Rio De Janeiro,RJ,20-22,S,2024-05
ALU_c3c442e283,Relacões Internacionais,6,Bac Relacões Internacionais,Penha Circular,Rio De Janeiro,RJ,23-25,S,2024-05
ALU_191d1d9cfb,Ciências Econômicas,9,Bac Em Ciências Econômicas,Jardim Botanico,Rio De Janeiro,RJ,,S,2024-05
ALU_e52f4e8916,Design,6,Bacharelado Em Design,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,N,2024-05
ALU_53b3647c79,Pos-Graduacao Em Fisica,8,Doutorado Em Ciencias-Fisica,Gávea,Rio De Janeiro,RJ,26-30,S,2024-05
ALU_2108caabc0,Administração,6,Bacharelado Em Administração,Parque Lafaiete,Duque De Caxias,RJ,,S,2024-05
ALU_0712e1202b,Direito,12,Bacharelado Em Direito,Barra Da Tijuca,Rio De Janeiro,RJ,,S,2024-05
ALU_dd13ca2fab,Psicologia,15,Bacharelado Em Psicologia,Copacabana,Rio De Janeiro,RJ,23-25,S,2024-05
ALU_276a8a816e,Design,9,Bacharelado Em Design,Tijuca,Rio De Janeiro,RJ,23-25,S,2024-05
ALU_a29366d4e0,Design,11,Bacharelado Em Design,Botafogo,Rio De Janeiro,RJ,23-25,S,2024-05
ALU_573cc816f8,Ciências Econômicas,13,Bac Em Ciências Econômicas,Lagoa,Rio De Janeiro,RJ,23-25,S,2024-05
ALU_d5216afd4a,Psicologia,12,Bacharelado Em Psicologia,Copacabana,Rio De Janeiro,RJ,23-25,S,2024-05
ALU_062b6be7af,Teologia,10,Bacharelado Em Teologia,Leblon,Rio De Janeiro,RJ,30+,S,2024-05
ALU_5b354c5074,Administração,11,Bacharelado Em Administração,Lagoa,Rio De Janeiro,RJ,23-25,S,2024-05
ALU_71469e3547,Administração,8,Bacharelado Em Administração,Sao Conrado,Rio De Janeiro,RJ,20-22,S,2024-05
ALU_0b15a15cca,Filosofia,9,Licenciatura Em Filosofia,Campo Grande,Rio De Janeiro,RJ,30+,S,2024-05
